n,m_star_exact,measured_10pct_budget,fitted_10pct_budget,measured_ratio,fitted_ratio,source
2,26.02585743600187,8000.0,2448.0487662813707,307.3866065574273,94.06217536929087,pass47
3,110.21962113097938,8000.0,4766.608995677721,72.58235800405454,43.246465073703405,pass47
4,540.7220108718673,8000.0,8194.185360178151,14.795033009846769,15.15415536157986,pass47
5,2884.1716757145305,32000.0,16705.344486048354,11.095039962235347,5.79207702048795,pass47
6,16519.247660913665,32000.0,38692.39121368094,1.9371342240794343,2.3422611009841168,pass48 (gate replay)
7,91741.1024336853,128000.0,115217.16117874575,1.39523067201557,1.2558946657745913,pass48
8,520955.03156205255,256000.0,296482.6298365267,0.4914051779716942,0.569113669845056,pass48
