case,max_weight,n_terms,frac_of_4n,zeta2_rel_err_pct,zeta1_diag_rel_err_pct
noisy_pure_q0.1|n6,0,1,0.000244140625,3.515750248838376,99.9918659419511
noisy_pure_q0.1|n6,1,19,0.004638671875,1.2363778475598866,99.98379516309284
noisy_pure_q0.1|n6,2,154,0.03759765625,0.2807939148703893,99.84168698387276
noisy_pure_q0.1|n6,3,694,0.16943359375,0.04155556102848183,98.34730187842644
noisy_pure_q0.1|n6,4,1909,0.466064453125,0.0028326817030452744,88.16020507522548
noisy_pure_q0.1|n6,5,3367,0.822021484375,5.621319210473414e-05,53.69540501585692
noisy_pure_q0.1|n6,6,4096,1.0,0.0,0.0
haar_pure|n6,0,1,0.000244140625,4.304787106348634,99.99341131115412
haar_pure|n6,1,19,0.004638671875,1.5137599995425477,99.98534040756238
haar_pure|n6,2,154,0.03759765625,0.3436747597557399,99.84323003206761
haar_pure|n6,3,694,0.16943359375,0.050738594622536215,98.34882183097548
haar_pure|n6,4,1909,0.466064453125,0.003353411702158234,88.16156758671148
haar_pure|n6,5,3367,0.822021484375,0.00011726351695521666,53.69623487561075
haar_pure|n6,6,4096,1.0,0.0,0.0
